,name,title_english,title_japanese,type,source,producers,genre,studio,episodes,duration,rating,score,scored_by,rank,popularity,favorites,broadcast,premiered_season,premiered_year
65,Mobile Suit Gundam SEED Destiny,Mobile Suit Gundam SEED DESTINY,機動戦士ガンダムSEED DESTINY,TV,Original,Sotsu,Space,Sunrise,50.0,24 min per ep,R - 17+ (violence & profanity),7.3,47750.0,2479.0,1191.0,1133.0,Unknown,Fall,2004
66,Turn A Gundam,∀ Gundam,∀ガンダム,TV,Original,Sotsu,Space,Sunrise,50.0,24 min per ep,PG-13 - Teens 13 or older,7.73,9204.0,1058.0,2420.0,547.0,Fridays at 17:00 (JST),Spring,1999
67,Mobile Fighter G Gundam,Mobile Fighter G Gundam,機動武闘伝Gガンダム,TV,Original,TV Asahi,Martial Arts,Sunrise,49.0,24 min per ep,PG-13 - Teens 13 or older,7.6,25027.0,1367.0,1778.0,757.0,Fridays at 17:00 (JST),Spring,1994
68,Last Exile,Last Exile,LAST EXILE（ラストエグザイル）,TV,Original,GDH,Adventure,Gonzo,26.0,24 min per ep,PG-13 - Teens 13 or older,7.89,55389.0,722.0,743.0,1709.0,Tuesdays at 01:30 (JST),Spring,2003
69,Mai-HiME,My-Hime,舞-HiME,TV,Original,Bandai Visual,Magic,Sunrise,26.0,23 min per ep,PG-13 - Teens 13 or older,7.53,42321.0,1580.0,1050.0,1216.0,Fridays at 01:30 (JST),Fall,2004
70,Mai-Otome,My-Otome,舞-乙HiME,TV,Original,Bandai Visual,Comedy,Sunrise,26.0,24 min per ep,PG-13 - Teens 13 or older,7.36,21354.0,2242.0,1904.0,322.0,Fridays at 01:30 (JST),Fall,2005
71,Air,Air,AIR,TV,Visual novel,Pony Canyon,Romance,Kyoto Animation,12.0,24 min per ep,PG-13 - Teens 13 or older,7.41,120702.0,1994.0,381.0,2584.0,Fridays at 00:30 (JST),Winter,2005
72,Aishiteruze Baby★★,I love you Babe ★★,愛してるぜ ベイベ★★,TV,Manga,Animax,Romance,TMS Entertainment,26.0,25 min per ep,PG-13 - Teens 13 or older,7.54,40784.0,1541.0,1202.0,518.0,Sundays at 19:00 (JST),Spring,2004
73,Akazukin Chacha,Red Riding Hood Chacha,赤ずきんチャチャ,TV,Manga,Nihon Ad Systems,Romance,Studio Gallop,74.0,24 min per ep,G - All Ages,7.46,3269.0,1797.0,4019.0,75.0,Fridays at 18:00 (JST),Winter,1994
74,Ayashi no Ceres,"Ceres, Celestial Legend",妖しのセレス,TV,Manga,Bandai Visual,Supernatural,Studio Pierrot,24.0,21 min per ep,R - 17+ (violence & profanity),7.33,21170.0,2335.0,1775.0,501.0,Thursdays at 18:30 (JST),Spring,2000
75,Boys Be...,Boys Be...,ボーイズ・ビー,TV,Manga,Audio Tanaka,Comedy,Hal Film Maker,13.0,23 min per ep,PG-13 - Teens 13 or older,6.52,7160.0,5690.0,3087.0,41.0,Tuesdays at 18:30 (JST),Spring,2000
76,Hana yori Dango,Hana Yori Dango,花より男子,TV,Manga,,School,Toei Animation,51.0,25 min per ep,PG-13 - Teens 13 or older,7.84,15258.0,819.0,2031.0,646.0,Unknown,Fall,1996
77,Ou Dorobou Jing,Jing: King of Bandits,王ドロボウ JING,TV,Manga,Aniplex,Fantasy,Studio Deen,13.0,24 min per ep,PG-13 - Teens 13 or older,7.31,11279.0,2441.0,2375.0,196.0,Unknown,Spring,2002
79,Bakuretsu Tenshi,Burst Angel,爆裂天使,TV,Original,GDH,Adventure,Gonzo,24.0,23 min per ep,PG-13 - Teens 13 or older,6.89,24602.0,4047.0,1542.0,251.0,Tuesdays at 02:12 (JST),Spring,2004
80,Chuuka Ichiban!,China's best,中華一番,TV,Manga,,Drama,Nippon Animation,52.0,23 min per ep,PG-13 - Teens 13 or older,7.7,4991.0,1106.0,3763.0,90.0,Sundays at 19:30 (JST),Spring,1997
81,Chou Henshin Cosprayers,The Cosmopolitan Prayers,超変身コス∞プレイヤー,TV,Original,m.o.e.,Magic,Imagin,8.0,14 min per ep,PG-13 - Teens 13 or older,5.03,2339.0,9690.0,4749.0,5.0,Unknown,Winter,2004
